phase,variant,schedule,chunk,threads,run,seconds,max_steps,checksum,hits_over_100
scaling,reduction,static_default,0,1,1,4.157000025,685,608547103,8197974
scaling,reduction,static_default,0,1,2,4.185999960,685,608547103,8197974
scaling,reduction,static_default,0,1,3,3.932000090,685,608547103,8197974
scaling,reduction,static_default,0,2,1,1.952999929,685,608547103,8197974
scaling,reduction,static_default,0,2,2,2.199000099,685,608547103,8197974
scaling,reduction,static_default,0,2,3,2.162999979,685,608547103,8197974
scaling,reduction,static_default,0,4,1,1.185000111,685,608547103,8197974
scaling,reduction,static_default,0,4,2,1.136999929,685,608547103,8197974
scaling,reduction,static_default,0,4,3,1.152000084,685,608547103,8197974
scaling,reduction,static_default,0,8,1,0.630999895,685,608547103,8197974
scaling,reduction,static_default,0,8,2,0.633000092,685,608547103,8197974
scaling,reduction,static_default,0,8,3,0.632999956,685,608547103,8197974
scaling,reduction,static_default,0,12,1,0.545000059,685,608547103,8197974
scaling,reduction,static_default,0,12,2,0.528999983,685,608547103,8197974
scaling,reduction,static_default,0,12,3,0.605999939,685,608547103,8197974
