phase,variant,schedule,chunk,threads,run,seconds,max_steps,checksum,hits_over_100
scheduling,static,static,0,12,1,0.547999968,685,608547103,8197974
scheduling,static,static,0,12,2,0.548000109,685,608547103,8197974
scheduling,static,static,0,12,3,0.590000011,685,608547103,8197974
scheduling,static_1000,static_1000,1000,12,1,0.513000097,685,608547103,8197974
scheduling,static_1000,static_1000,1000,12,2,0.543000086,685,608547103,8197974
scheduling,static_1000,static_1000,1000,12,3,0.536000103,685,608547103,8197974
scheduling,dynamic_100,dynamic_100,100,12,1,0.493000090,685,608547103,8197974
scheduling,dynamic_100,dynamic_100,100,12,2,0.480000059,685,608547103,8197974
scheduling,dynamic_100,dynamic_100,100,12,3,0.504000040,685,608547103,8197974
scheduling,dynamic_10000,dynamic_10000,10000,12,1,0.538000092,685,608547103,8197974
scheduling,dynamic_10000,dynamic_10000,10000,12,2,0.520999985,685,608547103,8197974
scheduling,dynamic_10000,dynamic_10000,10000,12,3,0.569000076,685,608547103,8197974
scheduling,guided,guided,1,12,1,0.607000071,685,608547103,8197974
scheduling,guided,guided,1,12,2,0.620999958,685,608547103,8197974
scheduling,guided,guided,1,12,3,0.784999907,685,608547103,8197974
