phase,variant,schedule,chunk,threads,run,seconds,max_steps,checksum,hits_over_100
sequential,sequential,none,0,1,1,4.078999996,685,608547103,8197974
sequential,sequential,none,0,1,2,4.157000065,685,608547103,8197974
sequential,sequential,none,0,1,3,4.137999773,685,608547103,8197974
scaling,reduction,static_default,0,1,1,4.157000025,685,608547103,8197974
scaling,reduction,static_default,0,1,2,4.18599996,685,608547103,8197974
scaling,reduction,static_default,0,1,3,3.93200009,685,608547103,8197974
scaling,reduction,static_default,0,2,1,1.952999929,685,608547103,8197974
scaling,reduction,static_default,0,2,2,2.199000099,685,608547103,8197974
scaling,reduction,static_default,0,2,3,2.162999979,685,608547103,8197974
scaling,reduction,static_default,0,4,1,1.185000111,685,608547103,8197974
scaling,reduction,static_default,0,4,2,1.136999929,685,608547103,8197974
scaling,reduction,static_default,0,4,3,1.152000084,685,608547103,8197974
scaling,reduction,static_default,0,8,1,0.630999895,685,608547103,8197974
scaling,reduction,static_default,0,8,2,0.633000092,685,608547103,8197974
scaling,reduction,static_default,0,8,3,0.632999956,685,608547103,8197974
scaling,reduction,static_default,0,12,1,0.545000059,685,608547103,8197974
scaling,reduction,static_default,0,12,2,0.528999983,685,608547103,8197974
scaling,reduction,static_default,0,12,3,0.605999939,685,608547103,8197974
scaling,reduction,static_default,0,6,1,0.809999884,685,608547103,8197974
scaling,reduction,static_default,0,6,2,0.825999941,685,608547103,8197974
scaling,reduction,static_default,0,6,3,0.832999966,685,608547103,8197974
false_sharing,naive_shared_line,static_default,0,6,1,0.864999987,685,608547103,8197974
false_sharing,naive_shared_line,static_default,0,6,2,0.795999977,685,608547103,8197974
false_sharing,naive_shared_line,static_default,0,6,3,0.791999973,685,608547103,8197974
false_sharing,cache_padded,static_default,0,6,1,0.814999918,685,608547103,8197974
false_sharing,cache_padded,static_default,0,6,2,0.808000099,685,608547103,8197974
false_sharing,cache_padded,static_default,0,6,3,0.807000011,685,608547103,8197974
scheduling,static,static,0,12,1,0.547999968,685,608547103,8197974
scheduling,static,static,0,12,2,0.548000109,685,608547103,8197974
scheduling,static,static,0,12,3,0.590000011,685,608547103,8197974
scheduling,static_1000,static_1000,1000,12,1,0.513000097,685,608547103,8197974
scheduling,static_1000,static_1000,1000,12,2,0.543000086,685,608547103,8197974
scheduling,static_1000,static_1000,1000,12,3,0.536000103,685,608547103,8197974
scheduling,dynamic_100,dynamic_100,100,12,1,0.49300009,685,608547103,8197974
scheduling,dynamic_100,dynamic_100,100,12,2,0.480000059,685,608547103,8197974
scheduling,dynamic_100,dynamic_100,100,12,3,0.50400004,685,608547103,8197974
scheduling,dynamic_10000,dynamic_10000,10000,12,1,0.538000092,685,608547103,8197974
scheduling,dynamic_10000,dynamic_10000,10000,12,2,0.520999985,685,608547103,8197974
scheduling,dynamic_10000,dynamic_10000,10000,12,3,0.569000076,685,608547103,8197974
scheduling,guided,guided,1,12,1,0.607000071,685,608547103,8197974
scheduling,guided,guided,1,12,2,0.620999958,685,608547103,8197974
scheduling,guided,guided,1,12,3,0.784999907,685,608547103,8197974
