table,configuration,threads,run1,run2,run3,average,speedup_empirical,speedup_theoretical,reality_gap,throughput_iter_per_s
scaling,k=1,1,4.157000025,4.18599996,3.93200009,4.059000025,1.0218033736030834,1.0,-0.021803373603083376,2547671.824663268
scaling,k=2,2,1.952999929,2.199000099,2.162999979,2.1810000389999997,1.9016505478384358,1.9016505478384358,0.0,4741402.941350429
scaling,k=4,4,1.185000111,1.136999929,1.152000084,1.1445000065,3.6238531196548314,3.4627422886149133,-0.16111083103991808,9035386.580401912
scaling,k=6,6,0.809999884,0.825999941,0.832999966,0.8294999535,5.000000182640154,4.76724063413605,-0.23275954850410407,12466546.810963744
scaling,k=8,8,0.630999895,0.633000092,0.632999956,0.633000024,6.552132325037636,5.873604760212404,-0.6785275648252318,16336492.27160219
scaling,k=12,12,0.545000059,0.528999983,0.605999939,0.567499961,7.308370403570828,7.648683920392682,0.34031351682185385,18222027.683980756
false_sharing,cache_padded,6,0.814999918,0.808000099,0.807000011,0.807500055,,,,12806191.078216087
false_sharing,naive_shared_line,6,0.864999987,0.795999977,0.791999973,0.793999975,,,,13023929.881106105
scheduling,static,12,0.547999968,0.548000109,0.590000011,0.56900006,7.2891027797079655,,,18173987.538771085
scheduling,static_1000,12,0.513000097,0.543000086,0.536000103,0.5395000945,7.687672275282612,,,19167744.557271805
scheduling,dynamic_100,12,0.49300009,0.480000059,0.50400004,0.4920000495,8.429877036018468,,,21018290.568281744
scheduling,dynamic_10000,12,0.538000092,0.520999985,0.569000076,0.5450000305,7.610091168609576,,,18974310.8647404
scheduling,guided,12,0.607000071,0.620999958,0.784999907,0.7029999325,5.899715956231616,,,14709816.490629606
